2024-11-22 17:06:38,Germany stocks higher at close of trade; DAX up 0.83%
2024-11-22 12:21:45,European stocks gain depite disappointing economic data
2024-11-21 17:07:30,Germany stocks mixed at close of trade; DAX up 0.75%
2024-11-21 12:14:08,"European stocks higher; earnings, regional sentiment data in focus"
2024-11-20 17:06:39,Germany stocks mixed at close of trade; DAX down 0.31%
2024-11-20 12:00:50,"European markets edge lower after UK inflation surprise, geopolitical concerns"
2024-11-19 17:06:38,Germany stocks lower at close of trade; DAX down 0.67%
2024-11-19 14:54:33,European markets fall sharply after Putin's nuclear threat; risk sentiment wanes
2024-11-18 17:06:46,Germany stocks lower at close of trade; DAX down 0.18%
2024-11-18 15:16:36,European stocks mixed; UK inflation numbers loom large
2024-11-15 17:07:19,Germany stocks lower at close of trade; DAX down 0.23%
2024-11-15 15:37:39,European stocks slip slightly; UK economy contracted in September
2024-11-14 17:06:43,Germany stocks higher at close of trade; DAX up 1.26%
2024-11-14 15:14:08,European stocks rise; eurozone GDP rose in Q3
2024-11-13 17:06:47,Germany stocks lower at close of trade; DAX down 0.30%
2024-11-13 15:08:57,European stocks retreat on regional growth fears; Just Eat soars
2024-11-12 17:10:42,Germany stocks lower at close of trade; DAX down 2.06%
2024-11-12 15:28:29,"European stocks retreat; German inflation rises, Bayer cuts guidance"
2024-11-11 17:06:37,Germany stocks higher at close of trade; DAX up 1.22%
2024-11-11 14:50:45,European stocks post strong gains; Continental surges after quarterly results
2024-11-08 17:06:48,Germany stocks mixed at close of trade; DAX down 0.81%
2024-11-08 10:06:44,European markets fall at end of volatile week; IAG soars
2024-11-08 05:40:35,Morning Bid: Stocks at record peaks on stimulus hopes
2024-11-07 17:06:52,Germany stocks higher at close of trade; DAX up 1.72%
2024-11-07 14:57:13,European stocks higher; German political turmoil to generate stimulus?
2024-11-07 10:40:26,"Less upside for European equities under a Trump presidency, UBS says"
2024-11-07 05:46:40,Morning Bid: German political drama adds to Trump risks for Europe
2024-11-06 17:06:54,Germany stocks lower at close of trade; DAX down 1.14%
2024-11-05 17:10:09,Germany stocks higher at close of trade; DAX up 0.55%
2024-11-05 15:16:53,European stocks struggle for direction as US starts voting
2024-11-04 17:06:37,Germany stocks lower at close of trade; DAX down 0.47%
2024-11-04 14:48:39,"European stocks mixed; caution ahead of US election, central bank meetings"
2024-11-01 17:07:09,Germany stocks higher at close of trade; DAX up 0.92%
2024-11-01 14:26:44,European stocks boosted by oil sector; US payrolls disappoint
